Best,Average,Worst
1950,2337,3115
1797,2264,3210
1741,2236,3319
1714,2092,3288
1678,2104,3288
1653,2108,3288
1627,2058,3319
1579,2091,3319
1579,2009,3319
1579,2055,3319
1579,1982,3319
1579,1988,3319
1579,1911,3315
1579,1932,3331
1579,1997,3296
1573,1999,3296
1573,2056,3319
1566,1966,3337
1566,1989,3337
1566,1963,3343
1566,2067,3343
1566,2028,3343
1566,2046,3343
1566,1990,3343
1566,2053,3343
1566,2037,3343
1566,2070,3360
1566,2026,3343
1566,1916,3343
1566,1997,3385
1566,2061,3404
1566,2033,3404
1566,1958,3404
1566,1957,3421
1566,2057,3421
1566,2071,3433
1566,1998,3427
1566,2041,3421
1566,1926,3421
1566,2008,3348
1566,1937,3331
1566,1949,3421
1566,2000,3348
1566,2091,3360
1566,1997,3342
1566,2025,3360
1566,2050,3364
1566,1984,3364
1566,1965,3364
1566,1990,3370
1566,2009,3384
1566,2009,3370
1566,2047,3375
1566,2083,3379
1566,2072,3379
1566,1989,3387
1566,1999,3379
1566,1989,3382
1566,2027,3382
1566,2068,3387
1566,2030,3387
1566,2015,3387
1566,2014,3382
1566,2034,3382
1566,2009,3387
1566,2025,3455
1566,1984,3396
1566,2048,3387
1566,2107,3387
1566,2003,3387
1566,2013,3387
1566,2098,3387
1566,1934,3396
1566,1965,3396
1566,2091,3387
1566,2005,3393
1566,2099,3436
1566,2001,3436
1566,2067,3387
1566,1914,3380
1566,2040,3380
1566,2089,3380
1566,1936,3380
1566,1916,3380
1566,1867,3344
1566,2030,3380
1566,2033,3321
1566,1970,3380
1566,1970,3344
1566,1914,3431
1566,2068,3372
1566,1960,3323
1566,2089,3431
1566,2108,3416
1566,1937,3431
1566,1958,3416
1566,1996,3416
1566,2049,3416
1566,1967,3416
1566,2015,3387
1566,1973,3387
1566,1963,3387
1566,2059,3411
1566,2114,3474
1566,2009,3469
1566,1999,3469
1566,2103,3469
1566,2075,3469
1566,1994,3432
1566,2004,3474
1566,2099,3469
1566,1934,3427
1566,1974,3469
1566,1991,3469
1566,2087,3469
1566,2078,3479
1566,2025,3484
1566,2003,3484
1566,1895,3360
1566,2096,3484
1566,2057,3484
1566,2086,3484
1566,2084,3484
1566,2013,3484
1566,2143,3484
1566,2047,3484
1566,2009,3484
1566,2016,3484
1566,1984,3371
1566,1958,3484
1566,1959,3484
1566,1990,3484
1566,2002,3484
1566,2068,3484
1566,1917,3484
1566,2057,3484
1566,1998,3484
1566,2023,3484
1566,1956,3484
1566,1919,3484
1566,1968,3484
1566,2053,3484
1566,2096,3484
1566,2073,3484
1566,2103,3484
1566,2048,3484
1566,2055,3484
1566,2159,3484
1566,1937,3484
1566,2046,3484
1566,2104,3484
1566,2014,3484
1566,1975,3484
1566,2073,3484
1566,2070,3484
1566,2023,3484
1566,1985,3484
1566,2123,3494
1566,1978,3494
1566,2047,3494
1566,2110,3494
1566,2061,3501
1566,2024,3501
1566,1977,3508
1566,2087,3508
1566,2091,3508
1566,2008,3508
1566,2045,3501
1566,2069,3462
1566,1973,3505
1566,2036,3508
1566,1943,3508
1566,2065,3513
1566,2050,3508
1566,1986,3501
1566,2071,3520
1566,2021,3520
1566,2011,3433
1566,2032,3508
1566,2075,3523
1566,2100,3523
1566,2049,3523
1566,1957,3523
1566,2021,3523
1566,2006,3523
1566,2001,3523
1566,2139,3523
1566,2016,3432
1566,2018,3523
1566,2038,3523
1566,2033,3523
1566,2120,3523
1566,2025,3523
1566,2001,3523
